UID,SpeciesName,ProjectStatus,NCBIAccessionNumber,Domain,Kingdom,Phylum,Family,Genus
187,Limnephilus_lunatus,Permanent_Draft,PRJNA203303,EUKARYAL,Metazoa,Arthropoda,Limnephilidae,Limnephilus
188,Ara_macao,Permanent_Draft,PRJNA175470,EUKARYAL,Metazoa,Chordata,Psittacidae,Ara
189,Zonotrichia_albicollis,Permanent_Draft,PRJNA197293,EUKARYAL,Metazoa,Chordata,Passerellidae,Zonotrichia
190,Morus_notabilis,Permanent_Draft,PRJNA202089,EUKARYAL,Viridiplantae,Streptophyta,Moraceae,Morus
191,Nicotiana_sylvestris,Permanent_Draft,PRJNA182500,EUKARYAL,Viridiplantae,Streptophyta,Solanaceae,Nicotiana
192,Anoplopoma_fimbria,Permanent_Draft,PRJNA202249,EUKARYAL,Metazoa,Chordata,Anoplopomatidae,Anoplopoma
193,Poecilia_mexicana,Permanent_Draft,PRJNA196869,EUKARYAL,Metazoa,Chordata,Poeciliidae,Poecilia
194,Myotis_brandtii,Permanent_Draft,PRJNA178678,EUKARYAL,Metazoa,Chordata,Vespertilionidae,Myotis
195,Alligator_sinensis,Permanent_Draft,PRJNA215016,EUKARYAL,Metazoa,Chordata,Alligatoridae,Alligator
196,Rhinolophus_ferrumequinum,Permanent_Draft,PRJNA209409,EUKARYAL,Metazoa,Chordata,Rhinolophidae,Rhinolophus
197,Eidolon_helvum,Permanent_Draft,PRJNA209406,EUKARYAL,Metazoa,Chordata,Pteropodidae,Eidolon
198,Megaderma_lyra,Permanent_Draft,PRJNA209407,EUKARYAL,Metazoa,Chordata,Megadermatidae,Megaderma
199,Coryphaena_hippurus,Permanent_Draft,PRJNA221638,EUKARYAL,Metazoa,Chordata,Coryphaenidae,Coryphaena
200,Esox_lucius,Permanent_Draft,PRJNA221548,EUKARYAL,Metazoa,Chordata,Esocidae,Esox
201,Camelina_sativa,Permanent_Draft,PRJNA210747,EUKARYAL,Viridiplantae,Streptophyta,Brassicaceae,Camelina
202,Trichuris_suis,Permanent_Draft,PRJNA208416,EUKARYAL,Metazoa,Nematoda,Trichuridae,Trichuris
203,Parus_major,Permanent_Draft,PRJNA208335,EUKARYAL,Metazoa,Chordata,Paridae,Parus
204,Lethenteron_camtschaticum,Permanent_Draft,PRJNA192554,EUKARYAL,Metazoa,Chordata,Petromyzontidae,Lethenteron
205,Lagenaria_siceraria,Permanent_Draft,PRJNA200441,EUKARYAL,Viridiplantae,Streptophyta,Cucurbitaceae,Lagenaria
206,Elaeis_guineensis,Permanent_Draft,PRJNA192219,EUKARYAL,Viridiplantae,Streptophyta,Arecaceae,Elaeis
207,Thunnus_orientalis,Permanent_Draft,PRJDA68701,EUKARYAL,Metazoa,Chordata,Scombridae,Thunnus
208,Zizania_latifolia,Permanent_Draft,PRJNA187578,EUKARYAL,Viridiplantae,Streptophyta,Poaceae,Zizania
209,Actinidia_chinensis,Permanent_Draft,PRJNA187206,EUKARYAL,Viridiplantae,Streptophyta,Actinidiaceae,Actinidia
210,Elaeis_oleifera,Permanent_Draft,PRJNA183707,EUKARYAL,Viridiplantae,Streptophyta,Arecaceae,Elaeis
211,Echinococcus_granulosus,Permanent_Draft,PRJNA182977,EUKARYAL,Metazoa,Platyhelminthes,Taeniidae,Echinococcus
212,Tarenaya_hassleriana,Permanent_Draft,PRJNA175230,EUKARYAL,Viridiplantae,Streptophyta,Cleomaceae,Tarenaya
213,Lyrurus_tetrix,Permanent_Draft,PRJNA179551,EUKARYAL,Metazoa,Chordata,Phasianidae,Lyrurus
214,Pimephales_promelas,Permanent_Draft,PRJNA227290,EUKARYAL,Metazoa,Chordata,Cyprinidae,Pimephales
215,Populus_euphratica,Permanent_Draft,PRJNA178692,EUKARYAL,Viridiplantae,Streptophyta,Salicaceae,Populus
